ScientificName;AphiaID;Match type;ScientificName;AphiaID_accepted;ScientificName_accepted
Amylax triacantha;110007;exact;Amylax triacantha;110007;Amylax triacantha
Aphanizomenon flosaquae;609460;exact;Aphanizomenon flosaquae;609460;Aphanizomenon flosaquae
Aphanothece paralleliformis;624961;exact;Aphanothece paralleliformis;624961;Aphanothece paralleliformis
bead;
Centrales;341285;exact;Centrales;341285;Centrales
Cylindrotheca closterium;149004;exact;Cylindrotheca closterium;149004;Cylindrotheca closterium
Chaetoceros;148985;exact;Chaetoceros;148985;Chaetoceros
Chlorococcales;17111;exact;Chlorococcales;732333;Chlamydomonadales
Chroococcales;146543;exact;Chroococcales;146543;Chroococcales
Chroococcus;146565;exact;Chroococcus;146565;Chroococcus
Ciliophora;11;exact;Ciliophora;11;Ciliophora
Cryptomonadales;17640;exact;Cryptomonadales;17640;Cryptomonadales
Pyrenomonadales;20997;exact;Pyrenomonadales;20997;Pyrenomonadales
Cyclotella choctawhatcheeana;148908;exact;Cyclotella choctawhatcheeana;148908;Cyclotella choctawhatcheeana
Cymbomonas tetramitiformis;134545;exact;Cymbomonas tetramitiformis;134545;Cymbomonas tetramitiformis
Dinophyceae;19542;exact;Dinophyceae;19542;Dinophyceae
Dinophysis acuminata;109603;exact;Dinophysis acuminata;109603;Dinophysis acuminata
Dolichospermum;578476;exact;Dolichospermum;578476;Dolichospermum
Euglenia;582200;exact;Euglenia;582200;Euglenia
Eutreptiella;17657;exact;Eutreptiella;17657;Eutreptiella
Gonyaulax verior;110045;exact;Gonyaulax verior;110045;Gonyaulax verior
Gymnodiniales;109392;exact;Gymnodiniales;109392;Gymnodiniales
Gymnodinium;109475;exact;Gymnodinium;109475;Gymnodinium
Heterocapsa rotundata;110152;exact;Heterocapsa rotundata;110152;Heterocapsa rotundata
Heterocapsa triquetra;110153;exact;Heterocapsa triquetra;1346683;Kryptoperidinium triquetrum
Heterocyte;
Katablepharis remigera;627117;exact;Katablepharis remigera;627117;Katablepharis remigera
Licmophora;149342;exact;Licmophora;149342;Licmophora
Melosira arctica;967160;exact;Melosira arctica;976453;Melosira arctica var. arctica
Merismopedia;146545;exact;Merismopedia;146545;Merismopedia
Mesodinium rubrum;232069;exact;Mesodinium rubrum;232069;Mesodinium rubrum
Monoraphidium contortum;160591;exact;Monoraphidium contortum;160591;Monoraphidium contortum
Nitzschia paleacea;609727;exact;Nitzschia paleacea;609727;Nitzschia paleacea
Nodularia spumigena;160566;exact;Nodularia spumigena;160566;Nodularia spumigena
Oocystis;178611;exact;Oocystis;178611;Oocystis
Oscillatoriales;146603;exact;Oscillatoriales;146603;Oscillatoriales
Pauliella taeniata;163624;exact;Pauliella taeniata;163624;Pauliella taeniata
Pennales;1304629;exact;Pennales;1304629;Pennales
Peridiniella catenata;110156;exact;Peridiniella catenata;110156;Peridiniella catenata
Prorocentrum cordatum;232376;exact;Prorocentrum cordatum;232376;Prorocentrum cordatum
Pseudopedinella;160599;exact;Pseudopedinella;160599;Pseudopedinella
Pyramimonas;134529;exact;Pyramimonas;134529;Pyramimonas
Skeletonema marinoi;376667;exact;Skeletonema marinoi;376667;Skeletonema marinoi
Snowella;146644;manually added;Snowella;146644;Snowella
Thalassiosira levanderi;149308;exact;Thalassiosira levanderi;149308;Thalassiosira levanderi
Uroglenopsis;555950;exact;Uroglenopsis;555950;Uroglenopsis
unknown;
